epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,43.583,1.35965,2.42483,3.06087,1.20047,0,0.59581,0.44828,0.43539,0.26926,0.59581,0.44828,0.42523,0.26925,1.36728,2.50338,3.39644,1.10145,0,0.00066087,0.00066087,0.00066087
2,66.8825,1.36646,2.17188,2.26604,1.16835,0,0.66157,0.46552,0.50174,0.31326,0.63706,0.44828,0.45825,0.2743,1.34119,2.56422,4.02221,1.21445,0,0.00121801,0.00121801,0.00121801
3,89.686,1.3294,2.04989,2.033,1.14306,0,0.59818,0.5,0.51554,0.34136,0.59818,0.5,0.50915,0.33954,1.30293,1.96245,3.48463,1.24052,0,0.00166516,0.00166516,0.00166516
4,112.445,1.35474,2.14396,1.85576,1.17091,0,0.56404,0.48276,0.4953,0.35156,0.59258,0.48276,0.49535,0.31138,1.19794,1.83015,2.0522,1.11348,0,0.001505,0.001505,0.001505
5,134.403,1.28931,1.96913,1.66119,1.13082,0,0.52823,0.55172,0.53165,0.35925,0.52823,0.55172,0.53066,0.31637,1.20944,1.84312,1.78239,1.1227,0,0.00134,0.00134,0.00134
6,156.255,1.19072,1.79627,1.52354,1.10002,0,0.56882,0.37931,0.45223,0.31617,0.56882,0.37931,0.44444,0.30073,1.2083,2.04526,2.50329,1.13886,0,0.001175,0.001175,0.001175
7,179.039,1.20011,1.69267,1.42063,1.07698,0,0.70965,0.55172,0.61756,0.41548,0.70336,0.53151,0.58598,0.38099,1.15625,1.92076,1.5705,1.13828,0,0.00101,0.00101,0.00101
8,206.695,1.18585,1.69162,1.66495,1.09703,0,0.56982,0.62069,0.65993,0.44753,0.83283,0.46552,0.64789,0.44037,1.14251,1.69707,1.87535,1.10241,0,0.000845,0.000845,0.000845
9,228.464,1.1006,1.57993,1.4847,1.05586,0,0.71473,0.60345,0.65251,0.47138,0.71473,0.60345,0.63965,0.4594,1.04752,1.6216,1.51531,1.05373,0,0.00068,0.00068,0.00068
10,250.325,1.06364,1.51522,1.3311,1.04798,0,0.59175,0.57486,0.53963,0.3688,0.6035,0.58621,0.53967,0.35185,1.07441,1.54437,1.28864,1.03647,0,0.000515,0.000515,0.000515
11,271.682,1.0364,1.5095,1.25421,1.02949,0,0.78505,0.5,0.64321,0.45657,0.78505,0.5,0.64499,0.4547,1.04302,1.60321,1.21922,1.03283,0,0.00035,0.00035,0.00035
12,293.413,0.98927,1.39245,1.15311,1.02588,0,0.78202,0.62069,0.69812,0.52664,0.80433,0.63787,0.70946,0.48641,0.95546,1.467,1.15603,1.01398,0,0.000185,0.000185,0.000185
